code,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512,202601,202602
000001,6,6,6,6,4,4,4,4,4,4,4,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,6,6,6,6,6,6,4,4,5,5,5,5,4,4,7,7,7,7,4,4,3,3,3,3,4,4,5,5,5,5,5,4,5,5,5,5,6,6,7,7,7,7,7,6,5,5,5,5,6,6,7,7,7,7,7,6,3,3,3,3,6,6,7,7,7,7,7,6,5,5,5,5,6,6,7,7,7,7
000002,5,5,5,5,7,4,4,4,4,6,6,7,7,7,7,7,9,4,4,4,4,7,7,8,8,8,8,8,8,5,5,5,5,6,6,5,5,5,5,5,6,4,4,4,4,5,5,7,7,7,7,7,8,4,4,4,4,7,7,6,6,6,6,6,8,5,5,5,5,7,7,6,6,6,6,6,7,4,4,4,4,8,8,5,5,5,5,5,7,5,5,5,5,8,8,7,7,7,7,7,6,1,1,1,1,3,3,4,4,4,4,4,4,5,5,5,5,6,6,4,4,4,4
000004,4,4,4,4,4,3,3,3,3,7,7,8,8,8,8,8,8,1,1,1,1,4,4,5,5,5,5,5,5,6,6,6,6,6,6,4,4,4,4,4,4,6,6,6,6,6,6,5,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,5,5,5,5,3,3,4,4,4,4,4,4,3,3,3,3,4,4,7,7,7,7
000006,7,7,7,7,6,7,7,7,7,6,6,6,6,6,6,6,7,3,3,3,3,7,7,7,7,7,7,7,6,4,4,4,4,6,6,6,6,6,6,6,6,5,5,5,5,9,9,9,9,9,9,9,9,5,5,5,5,4,4,4,4,4,4,4,6,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,8,8,5,5,5,5,5,5,3,3,3,3,4,4,5,5,5,5,5,5,4,4,4,4,5,5,6,6,6,6,6,6,7,7,7,7,4,4,6,6,6,6
000007,6,6,6,6,6,3,3,3,3,5,5,6,6,6,6,6,6,4,4,4,4,3,3,4,4,4,4,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,7,7,2,2,2,2,2,2,3,3,3,3,5,5,5,5,5,5,5,5,4,4,4,4,3,3,4,4,4,4,4,4,3,3,3,3,5,5,7,7,7,7,7,7,7,7,7,7,8,8,5,5,5,5,5,5,6,6,6,6,9,9,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6
000008,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,6,6,6,6,6,6,3,3,3,3,5,5,5,5,5,5,5,5,1,1,1,1,3,3,8,8,8,8,8,8,3,3,3,3,3,3,4,4,4,4,4,4,7,7,7,7,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,5,5,5,5,4,4,6,6,6,6
000009,5,5,5,5,5,7,7,7,7,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,8,8,6,6,6,6,6,6,6,6,6,6,9,9,6,6,6,6,6,6,5,5,5,5,7,7,8,8,8,8,8,7,4,4,4,4,5,5,4,4,4,4,4,4,2,2,2,2,5,5,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,7,7,7,7,9,9,7,7,7,7,7,7,3,3,3,3,5,5,7,7,7,7
000010,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,4,4,4,4,6,6,8,8,8,8,8,8,5,5,5,5,3,3,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,2,2,2,2,6,6,7,7,7,7,7,7,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,6,6,6,6,6,6,2,2,2,2,3,3,4,4,4,4
000011,5,5,5,5,8,4,4,4,4,4,4,4,4,4,4,4,9,5,5,5,5,6,6,5,5,5,5,5,5,4,4,4,4,7,7,7,7,7,7,7,7,4,4,4,4,4,4,5,5,5,5,5,7,4,4,4,4,6,6,3,3,3,3,3,7,4,4,4,4,7,7,4,4,4,4,4,5,4,4,4,4,5,5,7,7,7,7,7,5,4,4,4,4,7,7,7,7,7,7,7,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,6,6,6,6,6,6
